"AU_s_11_lemmat" "AU_s_142DVD_lemmat" "AU_s_168_CCSL41Bb_lemmat" "AU_s_178_lemmat" "AU_s_211_lemmat" "AU_s_32A1_lemmat" "AU_s_351_lemmat" "AU_s_393_B_lemmat" "AU_s_42A1_lemmat" "AU_s_50A1_lemmat" "AU_s_58_lemmat" "AU_s_59_lemmat" "AU_s_9_lemmat" "AU_s_96_lemmat" "AU_s_Frangip2_lemmat" "CAE_[AU_s_40]_lemmat" "CAE_AU_s_168_qfr_lemmat" "CAE_AU_s_178_BNFlat12202_lemmat" "CAE_AU_s_211Q_lemmat" "CAE_AU_s_32Q_lemmat" "CAE_AU_s_393_A_lemmat" "CAE_AU_s_42Q2_lemmat" "CAE_AU_s_50Q2_lemmat" "CAE_AU_s_58Q_lemmat" "CAE_AU-s-142Q_lemmat" "CAE_CAE_s_100A_lemmat" "CAE_CAE_s_109_lemmat" "CAE_CAE_s_124_lemmat" "CAE_CAE_s_140_BNFlat12202_lemmat" "CAE_CAE_s_142_lemmat" "CAE_CAE_s_147_lemmat" "CAE_CAE_s_159_lemmat" "CAE_CAE_s_183_BNFlat12202_lemmat" "CAE_CAE_s_185_lemmat" "CAE_CAE_s_210_lemmat" "CAE_CAE_s_231_lemmat" "CAE_CAE_s_35_lemmat" "CAE_CAE_s_63_lemmat"
"ut" 1.5990159901599 1.34638922888617 1.48606811145511 0.353825740822645 1.00439422473321 0.957720158841392 1.69811320754717 0.232558139534884 0.68259385665529 0.881612090680101 1.1441647597254 1.74904942965779 1.44968732234224 0.80040020010005 0.794302930703917 1.06122448979592 1.49532710280374 0.649598777225831 1.02695763799743 0.803571428571429 0.155763239875389 0.656167979002625 0.877963125548727 1.19829918824894 1.44449030127941 0.283553875236295 1.10732538330494 1.21261115602264 0.807102502017756 1.04923325262308 2.04741379310345 0.867302688638335 0.561009817671809 0.396196513470681 1.69811320754717 0.645161290322581 1.23691722169363 0.138312586445367
"is" 1.5990159901599 0.734394124847001 0.990712074303406 0.574966828836798 1.12994350282486 1.82200420462509 1.13207547169811 0.697674418604651 0.68259385665529 1.7632241813602 0.9534706331045 0.532319391634981 0.938032973280273 1.6008004002001 0.547795124623391 0.489795918367347 0.934579439252336 0.764233855559801 1.21951219512195 1.875 0.155763239875389 0.5249343832021 1.49253731343284 0.966370313103981 0.619067271976888 0.56710775047259 0.681431005110733 0.808407437348424 0.645682001614205 3.3091202582728 0.646551724137931 1.12749349522984 0.91164095371669 0.871632329635499 1.13207547169811 0.645161290322581 1.23691722169363 0.829875518672199
"facio" 1.1070110701107 1.31578947368421 0.804953560371517 1.54798761609907 0.627746390458255 0.537257650081757 0.943396226415094 0.697674418604651 2.21843003412969 0.377833753148615 0.9534706331045 0.456273764258555 1.94712905059693 2.00100050025013 0.766913174472747 0.489795918367347 0.809968847352025 1.41383263278563 0.641848523748395 0.446428571428571 0.934579439252336 1.70603674540682 0.614574187884109 1.00502512562814 1.1143210895584 0.472589792060492 0.511073253833049 0.404203718674212 2.17917675544794 0.726392251815981 0.431034482758621 1.040763226366 0.701262272089762 0.713153724247227 0.943396226415094 0.368663594470046 1.14176974310181 0.138312586445367
"hic" 1.5990159901599 1.13219094247246 0.990712074303406 1.0172490048651 0.564971751412429 1.23802849801448 0.660377358490566 0.232558139534884 1.87713310580205 0.671704450041982 1.5255530129672 1.59695817490494 1.02330869812393 0.600300150075038 1.20514927417146 1.06122448979592 0.996884735202492 1.18456247611769 0.513478818998716 1.07142857142857 0.467289719626168 1.5748031496063 0.526777875329236 1.54619250096637 0.866694180767643 0.945179584120983 0.596252129471891 0.889248181083266 1.04923325262308 0.645682001614205 1.50862068965517 0.693842150910668 1.19214586255259 0.63391442155309 0.660377358490566 0.737327188940092 0.951474785918173 0.4149377593361
"quis" 0.3690036900369 1.62178702570379 1.73374613003096 1.0172490048651 0.564971751412429 1.00443821537024 0.566037735849057 0.813953488372093 1.87713310580205 0.587741393786734 0.87719298245614 0.684410646387833 0.682205798749289 1.05052526263132 1.36948781155848 1.38775510204082 1.74454828660436 0.840657241115781 0.577663671373556 0.625 0.934579439252336 1.44356955380577 0.438981562774363 1.00502512562814 1.65084605860504 0.56710775047259 0.255536626916525 0.404203718674212 0.726392251815981 1.12994350282486 0.754310344827586 0.780572419774501 0.841514726507714 0.316957210776545 0.566037735849057 1.10599078341014 1.04662226450999 1.10650069156293
"ego" 0.1230012300123 2.05018359853121 1.48606811145511 0.973020787262273 1.19271814187068 0.303667367437515 0.660377358490566 1.04651162790698 1.70648464163823 0.0839630562552477 0.15255530129672 0.152091254752852 0.355315520181922 0.550275137568784 1.69816488633251 2.61224489795918 1.43302180685358 0.802445548337791 1.21951219512195 0 0.778816199376947 1.83727034120735 0 0.154619250096637 2.18737102765167 0.189035916824197 0.170357751277683 0.889248181083266 0.564971751412429 0.161420500403551 0 0.607111882046834 0.981767180925666 0.792393026941363 0.660377358490566 2.11981566820277 0.761179828734538 1.2448132780083
"sed" 0.4920049200492 0.673194614443084 1.11455108359133 0.884564352056612 0.816070307595731 0.747488904461574 0.471698113207547 1.3953488372093 0.341296928327645 1.0495382031906 0.49580472921434 1.21673003802281 0.99488345650938 1.20060030015008 0.821692686935086 0.816326530612245 1.1214953271028 0.764233855559801 0.834403080872914 0.982142857142857 1.24610591900312 0.656167979002625 1.14135206321335 0.54116737533823 0.660338423442014 0.283553875236295 1.10732538330494 0.404203718674212 0.645682001614205 0.807102502017756 0.862068965517241 1.38768430182134 0.841514726507714 0.63391442155309 0.471698113207547 0.552995391705069 1.04662226450999 1.6597510373444
"ad" 0.861008610086101 1.04039167686659 0.43343653250774 0.530738611233967 0.313873195229127 0.934361130576968 1.32075471698113 1.27906976744186 0.341296928327645 0.419815281276238 0.53394355453852 0.456273764258555 1.27913587265492 1.65082541270635 0.684743905779239 0.897959183673469 0.43613707165109 0.534963698891861 0.320924261874198 0.803571428571429 1.71339563862928 0.5249343832021 0.263388937664618 0.54116737533823 1.15559224102352 0.850661625708885 2.0442930153322 0.808407437348424 0.807102502017756 0.807102502017756 0.538793103448276 0.780572419774501 0.350631136044881 0.475435816164818 1.32075471698113 0.921658986175115 0.570884871550904 1.6597510373444
"tuus" 0.3690036900369 0.489596083231334 0.557275541795666 0.663423264042459 1.31826741996234 0.373744452230787 1.22641509433962 0.232558139534884 1.19453924914676 0.0419815281276238 1.5255530129672 0.91254752851711 1.29334849346219 0.200100050025012 1.01342098055327 1.55102040816327 0.498442367601246 0.649598777225831 1.15532734274711 0.178571428571429 0.155763239875389 0.656167979002625 0 1.50753768844221 0.495253817581511 2.17391304347826 0.170357751277683 0 0.968523002421308 0 1.07758620689655 0.0867302688638335 0.350631136044881 1.03011093502377 1.22641509433962 0.552995391705069 0.856327307326356 0.138312586445367
"ab" 0 1.34638922888617 1.05263157894737 0.442282176028306 0.627746390458255 0.490539593552908 0.188679245283019 1.86046511627907 2.55972696245734 0.419815281276238 0.91533180778032 1.21673003802281 0.49744172825469 1.55077538769385 0.383456587236374 0.244897959183673 1.05919003115265 0.496752006113871 0.641848523748395 0.267857142857143 0.778816199376947 2.0997375328084 0.175592625109745 0.927715500579822 1.65084605860504 0.56710775047259 0.340715502555366 0.404203718674212 0.484261501210654 0.645682001614205 1.50862068965517 1.21422376409367 0.490883590462833 0.554675118858954 0.188679245283019 0.276497695852535 0.285442435775452 2.21300138312586
